Timestamp,cpu.quota.used.percent,cpu.used.percent,net.request.time,net.http.request.time,net.http.request.time.worst
2024-09-27 16:41:20,1.1632,0.254219,4486848.428572,8.061460533334,13.323216333334
2024-09-27 16:42:20,1.0914,0.254532,4602012.204082,7.523028133334,12.799824
2024-09-27 16:42:40,2.7576,0.5815,113554640.98588,137.199640777778,333.86490219999996
2024-09-27 16:42:50,12.564,2.560407,6088170.793374,4.052743771135,6.706762446928
2024-09-27 16:43:10,34.5275,6.187822,7864299.383194,4.413259359395,10.25101263036
2024-09-27 16:43:20,47.696,7.091594,9746857.42208,5.56999330291,15.076941446262
2024-09-27 16:43:40,35.429,7.291907,35761265.2079,7.038479254827,15.810471348342
2024-09-27 16:43:50,46.5146,6.986938,6943876.435861,4.627064186897,10.201270190704
2024-09-27 16:44:10,56.12375,7.282813,11825379.380633,5.5408247815300005,14.584613281214
2024-09-27 16:44:20,46.9378,7.403751,9781894.458625,5.408180817627,11.205248223141
2024-09-27 16:44:40,46.5582,7.377313,11610903.804391,5.581015350835,9.11444071734
2024-09-27 16:45:00,38.7844,6.153282,9210923.334071,4.790129603245999,10.284405786787
2024-09-27 16:45:20,61.4865,6.835157,17138622.511824,2.931902118515,4.88126148597
2024-09-27 16:45:30,15.21,7.126438,3783026.465756,2.931031804198,4.350259413703
2024-09-27 16:45:40,45.5796,7.131969,11407610.657027,4.335739522938,12.329435054254999
2024-09-27 16:45:50,46.397001,7.109969,9614594.060425,4.693218233223,14.312221055283
2024-09-27 16:46:00,46.7334,7.406157,8808522.338535,4.29410289857,9.154016858344
2024-09-27 16:46:20,47.036,7.361594,5807494.875375,4.09899470757,7.3620488878520005
2024-09-27 16:46:40,46.2688,7.278344,9539679.123972,4.361758257864,9.403675716004999
2024-09-27 16:46:50,46.0214,7.160251,6488305.280603,4.028110823667999,7.0783273934610005
2024-09-27 16:47:00,47.1818,7.457844,8091999.928165,4.446522974592,9.152051096813
2024-09-27 16:47:10,46.7906,7.372469,10583616.477921,4.5599968776979996,10.804173753624
2024-09-27 16:47:20,45.418,7.138719,15199852.325904,4.741285510362,12.945590913643
2024-09-27 16:47:30,46.3858,7.325125,6423863.293597,4.121854067675,8.004331320341999
2024-09-27 16:47:40,46.4534,7.390751,7637562.042585,5.2052876767119995,10.580957770157
2024-09-27 16:47:50,10.7422,1.765438,14386992.019322,10.933192369582999,33.039172725889
2024-09-27 16:48:00,1.254,0.28325,3025420.204082,6.725633571429,10.76523775
2024-09-27 16:48:10,0.9676,0.224219,2712882.438776,4.420926400000001,6.87005975
