Timestamp,cpu.quota.used.percent,cpu.used.percent,net.request.time,net.http.request.time,net.http.request.time.worst,total_utility
2024-10-10 22:57:30,19.927861,0.903848,94629511.259673,68.8018205,276.1033636,0.7000000000000001
2024-10-10 22:57:40,36.478362,1.607029,71255359.066667,68.894232885715,352.88467925,0.6000000000000001
2024-10-10 22:57:50,31.72705,1.356695,73659216.155692,68.193889652174,265.28905625,0.6000000000000001
2024-10-10 22:58:00,27.511889,1.148396,40162338.137098,41.55742305,103.575272,0.8
2024-10-10 22:58:10,24.557273,1.064603,48872480.941158,112.2648993125,237.987268,0.8
2024-10-10 22:58:20,26.368143,1.0698,127256294.35806,218.572034336406,2158.17312075,0.2
2024-10-10 22:59:10,47.061949,1.812337,241164653.844222,124.991038887851,699.9394648148151,0.4
2024-10-10 22:59:50,33.505334,1.675001,0.0,0.0,0.0,0.8
2024-10-10 23:00:00,62.0738,2.470654,201935528.535111,300.367540774194,483.000572506579,0.2
2024-10-10 23:00:10,62.3099,2.489116,275749804.482569,540.796597148735,983.217044132948,0.0
2024-10-10 23:00:30,61.0866,2.429847,484001470.939861,198.53895754386,952.7955195,0.2
2024-10-10 23:00:40,54.9241,2.197904,1964883341.563629,471.79089383901,4651.350342333333,0.0
2024-10-10 23:01:20,62.533001,2.567904,356028097.421714,368.012805163691,591.3548836057699,0.0
2024-10-10 23:01:40,58.287401,2.418885,887750797.979835,928.756513682506,8012.63945625,0.0
2024-10-10 23:01:50,56.0152,2.319347,398301496.771866,719.164413842199,1870.493360965987,0.0
2024-10-10 23:02:10,56.752,2.32925,172540840.781579,193.413758891837,1100.981044086957,0.2
2024-10-10 23:02:20,51.3528,2.103577,85871913.735198,49.549937172186,96.621564666667,0.8
2024-10-10 23:02:40,58.3752,2.40077,158914243.38569,100.846774003589,232.216224153847,0.8
2024-10-10 23:03:20,53.4862,2.141712,104635849.907951,238.348359893082,377.322956989529,0.4
2024-10-10 23:03:30,50.552101,2.022193,103690162.629762,278.821894458499,354.425292569231,0.4
2024-10-10 23:03:40,46.4787,1.863385,371926456.332482,302.036509029198,762.853073,0.0
2024-10-10 23:04:00,41.2601,1.666058,938740604.330613,999.9252928999999,3302.867206333334,0.0
2024-10-10 23:04:20,22.297834,1.114167,9999668.666667,10.2908151,12.118588333334001,0.8
2024-10-10 23:04:30,38.868901,1.564308,37532650.705358,49.327741333334,147.9571955,0.8
2024-10-10 23:04:50,27.6203,0.814688,833484835.039683,1400.2265106190482,4834.113565166667,0.0
2024-10-10 23:05:00,32.9828,1.340212,74155780.448678,81.1879538,204.0405515,0.8
2024-10-10 23:05:10,31.187001,1.276616,59127340.777778,55.011171318182,163.695165,0.8
2024-10-10 23:05:20,29.8625,1.219885,82563685.048149,75.044954217392,181.26793625,0.8
2024-10-10 23:05:30,28.231,1.155962,66489221.901588,69.33449490909099,246.581634,0.8
2024-10-10 23:05:40,26.4824,1.087404,320418730.035715,182.494914333334,1002.39659425,0.2
2024-10-10 23:06:00,23.318401,0.965962,23743833.579366,34.434961083334,102.962508,0.8
2024-10-10 23:06:10,41.8879,1.681789,52709504.433532,588.96646709091,1845.472040666667,0.0
2024-10-10 23:06:20,28.2258,1.154577,44794520.819577,48.360948434783,126.6658425,0.8
2024-10-10 23:06:30,26.5834,1.09725,33732741.429167,47.417094142858,200.200799,0.8
2024-10-10 23:06:40,25.729101,1.060058,11991500.866072,25.420626300000002,201.855614,0.8
2024-10-10 23:06:50,24.805001,1.02775,1864974476.997619,3349.948964760001,13883.629127833334,0.0
2024-10-10 23:07:10,20.011334,0.824969,10840002.089286,25.485552625,52.620702666667,0.8
